algorithm,step,g_in,h,G_out,coverage,diversity,normalized_diversity
Greedy-HEP,0,All users,Mean is greater than 2,"language:de, language:en, country:romania",0.9766214527105227,2.989955536386676,0.9966518454622254
Greedy-HEP,1,language:de,Mean is greater than 2,"age:<18|language:de, category:other|language:de, age:45-49|language:de",0.9197812215132178,2.932937051714134,0.9776456839047114
Greedy-HEP,2,category:other|language:de,Mean is greater than 2,"category:other|country:austria|language:de, category:other|country:germany|language:de, category:other|country:switzerland|language:de",0.9601395117090185,3.0,1.0
Greedy-HEP,3,language:en,Mean is greater than 2,"country:romania|language:en, country:norway|language:en, category:Fiction|language:en",0.7395708404913941,2.9991890218794355,0.9997296739598118
Greedy-HEP,4,category:Fiction|language:en,Mean is greater than 2,"category:Fiction|country:canada|language:en, category:Fiction|country:united kingdom|language:en, category:Fiction|country:usa|language:en",0.9036939603200701,3.0,1.0
Greedy-HEP,5,category:Fiction|country:canada|language:en,Mean is greater than 2,"age:<18|category:Fiction|country:canada|language:en, category:Fiction|country:canada|language:en|year_of_publication:90s, age:50-55|category:Fiction|country:canada|language:en",0.7097161135545782,2.947584757719242,0.9825282525730806
Greedy-HEP,6,category:Fiction|country:canada|language:en|year_of_publication:90s,Mean is greater than 2,"age:18-24|category:Fiction|country:canada|language:en|year_of_publication:90s, age:35-44|category:Fiction|country:canada|language:en|year_of_publication:90s, age:25-34|category:Fiction|country:canada|language:en|year_of_publication:90s",0.8501609599063507,3.0,1.0
Greedy-HEP,7,category:Fiction|country:usa|language:en,Mean is greater than 2,"category:Fiction|country:usa|language:en|year_of_publication:90s, age:<18|category:Fiction|country:usa|language:en, category:Fiction|country:usa|language:en|year_of_publication:60s",0.6496123137232295,2.965943698856234,0.9886478996187447
Greedy-HEP,8,category:Fiction|country:usa|language:en|year_of_publication:90s,Mean is greater than 2,"age:25-34|category:Fiction|country:usa|language:en|year_of_publication:90s, age:18-24|category:Fiction|country:usa|language:en|year_of_publication:90s, age:35-44|category:Fiction|country:usa|language:en|year_of_publication:90s",0.8044253781892075,3.0,1.0
Greedy-HEP,9,category:other|country:germany|language:de,Mean is greater than 2,"category:other|country:germany|language:de|year_of_publication:2000s, age:<18|category:other|country:germany|language:de, age:50-55|category:other|country:germany|language:de",0.6365258774538964,2.9544249319990477,0.9848083106663492
Greedy-HEP,10,category:other|country:germany|language:de|year_of_publication:2000s,Mean is greater than 2,"age:35-44|category:other|country:germany|language:de|year_of_publication:2000s, age:25-34|category:other|country:germany|language:de|year_of_publication:2000s, age:18-24|category:other|country:germany|language:de|year_of_publication:2000s",0.8976833976833977,3.0,1.0
Greedy-HEP,11,category:Fiction|country:united kingdom|language:en,Mean is greater than 2,"category:Fiction|country:united kingdom|language:en|year_of_publication:2000s, category:Fiction|country:united kingdom|language:en|year_of_publication:70s, age:>56|category:Fiction|country:united kingdom|language:en",0.639161755075311,2.8983653622644208,0.9661217874214736
Greedy-HEP,12,category:Fiction|country:united kingdom|language:en|year_of_publication:2000s,Mean is greater than 2,"age:35-44|category:Fiction|country:united kingdom|language:en|year_of_publication:2000s, age:25-34|category:Fiction|country:united kingdom|language:en|year_of_publication:2000s, age:18-24|category:Fiction|country:united kingdom|language:en|year_of_publication:2000s",0.8402555910543131,3.0,1.0
Greedy-HEP,13,category:other|country:switzerland|language:de,Mean is greater than 2,"age:35-44|category:other|country:switzerland|language:de, category:other|country:switzerland|language:de|year_of_publication:2000s, age:18-24|category:other|country:switzerland|language:de",0.7642857142857142,2.735294117647059,0.9117647058823529
Greedy-HEP,14,age:<18|category:Fiction|country:usa|language:en,Mean is greater than 2,"age:<18|category:Fiction|country:usa|language:en|year_of_publication:90s, age:<18|category:Fiction|country:usa|language:en|year_of_publication:2000s, age:<18|category:Fiction|country:usa|language:en|year_of_publication:80s",0.9898305084745763,2.434198111326006,0.811399370442002
Greedy-HEP,15,age:<18|language:de,Mean is greater than 2,"age:<18|language:de|year_of_publication:90s, age:<18|category:other|language:de, age:<18|language:de|year_of_publication:2000s",1.0,1.6998602375960867,0.5666200791986956
Greedy-HEP,16,age:45-49|language:de,Mean is greater than 2,"age:45-49|language:de|year_of_publication:90s, age:45-49|category:other|language:de, age:45-49|language:de|year_of_publication:2000s",1.0,1.636327185244587,0.545442395081529
Greedy-HEP,17,age:45-49|category:other|language:de,Mean is greater than 2,"age:45-49|category:other|language:de|year_of_publication:2000s, age:45-49|category:other|country:germany|language:de, age:45-49|category:other|language:de|year_of_publication:90s",1.0,1.8342774020769512,0.6114258006923171
Greedy-HEP,18,country:romania,Mean is greater than 2,"country:romania|language:en, country:romania|year_of_publication:90s, country:romania|year_of_publication:2000s",1.0,0.8148148148148149,0.271604938271605
Greedy-HEP,19,age:>56|category:Fiction|country:united kingdom|language:en,Mean is greater than 2,"age:>56|category:Fiction|country:united kingdom|language:en|year_of_publication:90s, age:>56|category:Fiction|country:united kingdom|language:en|year_of_publication:2000s",0.953125,0.8032786885245902,0.8032786885245902
Greedy-HEP,20,age:<18|category:Fiction|country:canada|language:en,Mean is greater than 2,"age:<18|category:Fiction|country:canada|language:en|year_of_publication:90s, age:<18|category:Fiction|country:canada|language:en|year_of_publication:2000s",0.8921568627450981,0.8571428571428572,0.8571428571428572
Greedy-HEP,21,age:45-49|category:other|country:germany|language:de,Mean is greater than 2,"age:45-49|category:other|country:germany|language:de|year_of_publication:2000s, age:45-49|category:other|country:germany|language:de|year_of_publication:90s",0.9491525423728814,0.7678571428571428,0.7678571428571428
Greedy-HEP,22,age:50-55|category:Fiction|country:canada|language:en,Mean is greater than 2,"age:50-55|category:Fiction|country:canada|language:en|year_of_publication:90s, age:50-55|category:Fiction|country:canada|language:en|year_of_publication:2000s",0.9252336448598131,0.702020202020202,0.702020202020202
Greedy-HEP,23,country:romania|language:en,Mean is greater than 2,"country:romania|language:en|year_of_publication:2000s, country:romania|language:en|year_of_publication:90s",1.0,0.40740740740740744,0.40740740740740744
Greedy-HEP,24,country:romania|language:en,Mean is greater than 2,"country:romania|language:en|year_of_publication:2000s, country:romania|language:en|year_of_publication:90s",1.0,0.40740740740740744,0.40740740740740744
