user_id,item_id,title,genre,runtime_minutes,year,gender,age,occupation,location,timestamp,rating
5433,286,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller,Long,90s,F,35-44,technician-engineer,OH,2000-06-05 21:34:41,3
15,2763,"Thomas Crown Affair, The (1999)",Action|Thriller,Long,90s,M,25-34,executive-managerial,VA,2000-12-30 17:21:06,3
155,3415,"Mirror, The (Zerkalo) (1975)",Drama,Long,70s,M,35-44,programmer,NJ,2000-12-19 20:17:35,5
4553,1709,Legal Deceit (1997),Thriller,Long,90s,F,35-44,self-employed,MI,2000-07-25 18:55:53,2
59,3549,Guys and Dolls (1955),Musical,Long,50s,F,50-55,academic-educator,MN,2003-01-07 19:14:46,4
424,3939,"Slumber Party Massacre II, The (1987)",Horror,Long,80s,M,25-34,technician-engineer,MN,2002-04-03 16:35:03,1
18,3034,Robin Hood (1973),Animation|Children's,Long,70s,F,18-24,clerical-admin,CA,2000-12-30 05:40:34,5
889,1328,"Amityville Curse, The (1990)",Horror,Long,90s,M,45-49,writer,NY,2000-11-27 22:34:46,1
4808,2623,Trippin' (1999),Comedy,Long,90s,M,35-44,other,N/A,2000-07-08 04:54:56,3
136,417,Barcelona (1994),Comedy|Romance,Long,90s,M,18-24,artist,MD,2000-12-21 18:21:49,1
58,2891,"Happy, Texas (1999)",Comedy,Long,90s,M,25-34,artist,GA,2000-12-27 18:26:40,5
195,2769,"Yards, The (1999)",Crime|Mystery,Long,2000s,M,25-34,programmer,NY,2001-06-12 21:34:17,4
53,268,Little Odessa (1994),Drama,Long,90s,M,25-34,other,GU,2000-12-28 07:17:06,4
889,1846,Nil By Mouth (1997),Drama,Long,90s,M,45-49,writer,NY,2000-11-26 18:04:11,3
216,3427,Coogan's Bluff (1968),Crime,Long,60s,M,45-49,retired,IA,2000-12-15 08:55:54,3
48,2379,Police Academy 2: Their First Assignment (1985),Comedy,Long,80s,M,25-34,college-grad student,CA,2000-12-30 03:43:04,2
53,2120,Needful Things (1993),Drama|Horror,Long,90s,M,25-34,other,GU,2000-12-28 05:18:07,3
195,3022,"General, The (1927)",Comedy,Long,20s,M,25-34,programmer,NY,2002-05-02 04:50:57,5
293,667,Bloodsport 2 (1995),Action,Long,90s,M,>56,academic-educator,N/A,2000-12-12 21:00:28,1
15,539,Sleepless in Seattle (1993),Comedy|Romance,Long,90s,M,25-34,executive-managerial,VA,2000-12-30 17:47:49,4
390,3692,Class of Nuke 'Em High (1986),Comedy|Horror,Long,80s,M,25-34,college-grad student,MN,2000-12-08 21:37:41,4
824,1575,Gabbeh (1996),Drama,Long,90s,M,35-44,programmer,CA,2000-11-28 02:49:43,3
18,1587,Conan the Barbarian (1982),Action|Adventure,Long,80s,F,18-24,clerical-admin,CA,2000-12-30 05:35:34,4
235,2897,And the Ship Sails On (E la nave va) (1984),Comedy|War,Long,80s,M,25-34,other,N/A,2002-01-05 21:26:36,4
62,1450,Prisoner of the Mountains (Kavkazsky Plennik) (1996),War,Long,90s,F,35-44,clerical-admin,WA,2000-12-27 07:16:14,5
