algorithm,step,g_in,h,G_out,coverage,diversity,normalized_diversity
Greedy-HEP,0,All users,Mean is greater than 3.5,"runtime_minutes:Long, location:AL, location:RI",1.0,2.9925496688741724,0.9975165562913908
Greedy-HEP,1,runtime_minutes:Long,Mean is greater than 3.5,"location:HI|runtime_minutes:Long, location:RI|runtime_minutes:Long, genre:Drama|runtime_minutes:Long",0.9995033112582782,2.992711611727679,0.9975705372425597
Greedy-HEP,2,genre:Drama|runtime_minutes:Long,Mean is greater than 3.5,"genre:Drama|runtime_minutes:Long|year:90s, genre:Drama|location:NE|runtime_minutes:Long, genre:Drama|location:AL|runtime_minutes:Long",0.9893987079675336,2.992967796925863,0.9976559323086209
Greedy-HEP,3,genre:Drama|runtime_minutes:Long|year:90s,Mean is greater than 3.5,"gender:F|genre:Drama|runtime_minutes:Long|year:90s, gender:M|genre:Drama|runtime_minutes:Long|year:90s, genre:Drama|location:AL|runtime_minutes:Long|year:90s",1.0,2.993106197291765,0.9977020657639217
Greedy-HEP,4,gender:M|genre:Drama|runtime_minutes:Long|year:90s,Mean is greater than 3.5,"age:25-34|gender:M|genre:Drama|runtime_minutes:Long|year:90s, age:35-44|gender:M|genre:Drama|runtime_minutes:Long|year:90s, age:18-24|gender:M|genre:Drama|runtime_minutes:Long|year:90s",0.7400140154169587,3.0,1.0
Greedy-HEP,5,gender:F|genre:Drama|runtime_minutes:Long|year:90s,Mean is greater than 3.5,"age:18-24|gender:F|genre:Drama|runtime_minutes:Long|year:90s, age:35-44|gender:F|genre:Drama|runtime_minutes:Long|year:90s, age:25-34|gender:F|genre:Drama|runtime_minutes:Long|year:90s",0.6989946777054997,3.0,1.0
Greedy-HEP,6,age:18-24|gender:M|genre:Drama|runtime_minutes:Long|year:90s,Mean is greater than 3.5,"age:18-24|gender:M|genre:Drama|occupation:other|runtime_minutes:Long|year:90s, age:18-24|gender:M|genre:Drama|occupation:programmer|runtime_minutes:Long|year:90s, age:18-24|gender:M|genre:Drama|occupation:college-grad student|runtime_minutes:Long|year:90s",0.6220275344180225,3.0,1.0
Greedy-HEP,7,age:18-24|gender:F|genre:Drama|runtime_minutes:Long|year:90s,Mean is greater than 3.5,"age:18-24|gender:F|genre:Drama|location:NY|runtime_minutes:Long|year:90s, age:18-24|gender:F|genre:Drama|occupation:other|runtime_minutes:Long|year:90s, age:18-24|gender:F|genre:Drama|occupation:college-grad student|runtime_minutes:Long|year:90s",0.6790540540540541,2.9230769230769234,0.9743589743589745
Greedy-HEP,8,age:35-44|gender:M|genre:Drama|runtime_minutes:Long|year:90s,Mean is greater than 3.5,"age:35-44|gender:M|genre:Drama|occupation:executive-managerial|runtime_minutes:Long|year:90s, age:35-44|gender:M|genre:Drama|occupation:technician-engineer|runtime_minutes:Long|year:90s, age:35-44|gender:M|genre:Drama|occupation:other|runtime_minutes:Long|year:90s",0.44946492271105826,3.0,1.0
Greedy-HEP,9,age:25-34|gender:M|genre:Drama|runtime_minutes:Long|year:90s,Mean is greater than 3.5,"age:25-34|gender:M|genre:Drama|location:NY|runtime_minutes:Long|year:90s, age:25-34|gender:M|genre:Drama|location:CA|runtime_minutes:Long|year:90s, age:25-34|gender:M|genre:Drama|location:MN|runtime_minutes:Long|year:90s",0.3357329842931937,3.0,1.0
