user_id,age
49858,25-34
39521,35-44
43082,25-34
50616,<18
51478,35-44
53737,25-34
59922,25-34
34941,18-24
86656,50-55
9692,25-34
72582,25-34
43553,25-34
28307,>56
56318,50-55
68354,25-34
50920,25-34
69446,25-34
43556,25-34
64018,>56
28584,50-55
77193,45-49
16461,50-55
71492,25-34
29548,25-34
27924,25-34
55224,35-44
69066,35-44
72360,35-44
38364,25-34
86130,25-34
3275,18-24
26836,25-34
64136,35-44
22140,35-44
62545,18-24
48367,18-24
39115,35-44
63393,18-24
31280,25-34
75608,>56
862,25-34
38531,35-44
8248,50-55
20385,50-55
7284,50-55
68162,25-34
76852,25-34
75396,35-44
21679,>56
51107,50-55
13040,18-24
23590,<18
71227,25-34
71162,25-34
15643,25-34
19062,>56
73240,<18
79719,25-34
471,50-55
60898,35-44
24073,25-34
28246,>56
56793,45-49
17794,25-34
31782,25-34
22516,18-24
57424,25-34
43180,25-34
48350,25-34
64480,25-34
28447,50-55
70515,25-34
20379,18-24
40895,>56
48464,35-44
81704,<18
48754,25-34
10966,25-34
18329,25-34
42571,25-34
80457,<18
9097,35-44
3896,>56
22197,25-34
64684,25-34
19621,25-34
14268,25-34
31629,35-44
10678,50-55
47530,25-34
34732,>56
85132,25-34
22104,18-24
28830,>56
52044,25-34
62861,25-34
71444,25-34
47794,25-34
21651,25-34
79506,25-34
42662,25-34
26898,>56
49988,25-34
86343,25-34
22849,45-49
48912,25-34
8349,25-34
2008,18-24
17158,25-34
18766,25-34
47147,35-44
48439,25-34
54861,25-34
28977,25-34
3136,25-34
8478,25-34
23594,<18
27644,25-34
16079,25-34
8009,25-34
34618,25-34
19287,35-44
12638,25-34
66228,25-34
84013,35-44
7102,25-34
1629,18-24
84386,25-34
21471,25-34
32275,25-34
13804,25-34
21590,25-34
31329,50-55
42075,25-34
23370,25-34
36363,35-44
72783,<18
46310,<18
50741,45-49
53734,50-55
6210,35-44
7821,25-34
17610,>56
29339,25-34
74946,25-34
13544,25-34
78444,25-34
32102,25-34
5872,25-34
73587,18-24
66356,25-34
5999,45-49
83963,25-34
12163,35-44
64240,<18
74281,25-34
34644,18-24
46689,50-55
54137,25-34
13386,>56
43878,25-34
32829,>56
32545,25-34
34251,25-34
59758,35-44
46391,35-44
1726,35-44
41136,25-34
49501,25-34
57859,25-34
24800,<18
17042,25-34
21576,25-34
6620,>56
56156,25-34
46712,25-34
73127,35-44
15919,25-34
42570,45-49
68735,25-34
12793,25-34
66723,25-34
29395,25-34
2156,25-34
12620,18-24
18325,25-34
56633,18-24
35288,>56
56082,25-34
6224,25-34
31672,25-34
60183,25-34
49804,50-55
27930,25-34
86064,25-34
15808,25-34
26811,45-49
65683,25-34
35931,25-34
78609,18-24
4285,35-44
69732,45-49
14443,25-34
15499,25-34
14572,45-49
7385,50-55
21673,25-34
16210,25-34
22833,25-34
48570,25-34
28025,25-34
46317,25-34
60926,25-34
59128,50-55
10098,25-34
276,25-34
22202,25-34
16722,35-44
26900,25-34
20773,45-49
55687,25-34
63986,45-49
82015,25-34
10347,>56
55144,25-34
18398,25-34
82122,25-34
11231,25-34
82824,35-44
33771,25-34
55564,25-34
63711,25-34
63519,25-34
23287,18-24
66773,25-34
71706,25-34
8384,45-49
14786,25-34
38024,<18
28884,>56
10339,18-24
71777,25-34
40270,25-34
86507,>56
17269,35-44
15269,25-34
26595,25-34
57375,25-34
71968,25-34
71995,25-34
73022,25-34
78409,25-34
50528,18-24
43459,35-44
15973,18-24
79137,18-24
69450,25-34
75639,18-24
28440,25-34
37155,25-34
82598,25-34
19115,25-34
12042,25-34
65458,35-44
35414,>56
22946,25-34
67237,25-34
77454,35-44
79074,35-44
61830,25-34
16159,25-34
21598,>56
66482,25-34
12111,35-44
39074,25-34
46410,25-34
64903,25-34
46959,25-34
22154,25-34
6380,>56
25814,25-34
42867,25-34
64516,25-34
75842,18-24
31772,25-34
37328,<18
43806,25-34
5732,18-24
20024,18-24
5979,45-49
57922,45-49
59774,25-34
22446,25-34
84157,50-55
40410,25-34
80765,18-24
45488,<18
7263,35-44
59710,25-34
14166,25-34
21920,18-24
776,25-34
12155,25-34
65615,25-34
10949,25-34
40133,18-24
15233,18-24
43911,35-44
18756,25-34
12105,>56
50817,35-44
39476,18-24
9356,35-44
67047,25-34
62210,<18
79027,25-34
1109,25-34
34880,<18
59535,>56
72016,18-24
5672,25-34
32030,25-34
9219,25-34
4861,25-34
22412,50-55
27264,25-34
65078,25-34
60007,25-34
3783,25-34
65760,<18
9974,50-55
70976,<18
34381,25-34
4076,25-34
72346,25-34
70566,25-34
7930,25-34
16629,35-44
25823,25-34
22002,18-24
5102,18-24
50720,25-34
51430,25-34
18203,25-34
66216,25-34
73253,25-34
68014,35-44
51052,35-44
59703,<18
23793,25-34
1576,25-34
39523,25-34
17929,25-34
19186,>56
40701,35-44
63038,18-24
31246,25-34
75938,<18
24968,25-34
84005,45-49
20474,35-44
45610,25-34
39041,45-49
10594,35-44
1335,50-55
68320,25-34
84993,25-34
24043,25-34
51254,25-34
11150,25-34
11202,35-44
48226,25-34
31134,>56
10010,25-34
47570,25-34
69030,25-34
37143,25-34
19066,25-34
77418,25-34
9788,25-34
45289,25-34
31794,25-34
5020,25-34
20919,18-24
13565,18-24
45634,35-44
46478,25-34
53689,25-34
63562,<18
55710,25-34
1275,35-44
284,<18
4850,25-34
33249,25-34
39853,25-34
64607,25-34
12391,18-24
41539,25-34
75465,25-34
84237,45-49
3891,25-34
7826,25-34
30425,50-55
51047,25-34
40218,25-34
65426,25-34
34974,35-44
83278,25-34
17252,>56
21219,35-44
64661,45-49
73203,25-34
30531,25-34
63549,45-49
82148,25-34
40969,25-34
47134,35-44
1821,45-49
28744,25-34
38702,>56
6425,25-34
2329,<18
3290,25-34
62268,35-44
33020,25-34
76119,25-34
10832,35-44
39663,25-34
20839,25-34
20302,25-34
67261,25-34
1729,18-24
1194,18-24
52258,25-34
26260,25-34
8612,18-24
46250,25-34
38280,>56
26391,25-34
28202,25-34
45956,25-34
52588,35-44
9934,35-44
11275,>56
36481,25-34
52837,25-34
53727,25-34
9140,25-34
31966,25-34
63981,50-55
31988,25-34
34913,35-44
24545,25-34
69033,25-34
39077,25-34
42514,18-24
75713,25-34
75540,25-34
9012,35-44
22119,18-24
2522,25-34
1446,25-34
57260,25-34
76417,25-34
28239,25-34
66740,25-34
4681,25-34
33588,25-34
12741,25-34
64081,25-34
19015,18-24
4043,35-44
17630,25-34
32761,50-55
40965,25-34
12199,25-34
15662,25-34
34746,25-34
76509,25-34
21690,18-24
13490,25-34
41909,25-34
50098,<18
79340,25-34
31199,25-34
16625,25-34
84617,25-34
3549,25-34
31083,35-44
81975,25-34
13761,25-34
64544,25-34
66362,25-34
53123,25-34
67101,25-34
37023,18-24
17295,25-34
42531,25-34
62512,25-34
37164,50-55
18300,18-24
16223,50-55
38217,45-49
19012,35-44
25620,25-34
26314,25-34
57051,25-34
2812,18-24
78803,25-34
29605,25-34
68180,50-55
32155,25-34
35943,25-34
18468,25-34
5819,25-34
21942,35-44
29490,25-34
36847,25-34
31159,25-34
36385,25-34
57408,45-49
21476,18-24
58114,25-34
75983,25-34
4234,>56
46938,18-24
14617,25-34
49842,45-49
56467,18-24
79655,25-34
20280,25-34
61121,25-34
3019,25-34
12019,25-34
63088,25-34
49810,25-34
63920,25-34
46109,25-34
36517,35-44
81726,25-34
29052,25-34
21309,45-49
71500,25-34
8631,25-34
67159,>56
65468,25-34
15113,25-34
49647,25-34
4048,25-34
38300,25-34
73462,25-34
28412,35-44
70999,25-34
11851,25-34
14326,45-49
19125,25-34
14072,25-34
45913,45-49
13739,25-34
15982,50-55
5536,35-44
15601,18-24
8716,18-24
73107,25-34
85113,25-34
15304,18-24
13348,25-34
64221,25-34
66771,35-44
41437,25-34
44562,25-34
6358,>56
55879,45-49
40287,25-34
7736,25-34
23913,25-34
4600,35-44
61797,25-34
40305,<18
32423,35-44
72702,25-34
74571,18-24
80070,25-34
5652,25-34
8569,35-44
64255,>56
21979,35-44
83672,25-34
26834,50-55
47696,50-55
26880,18-24
17518,45-49
25841,35-44
36730,25-34
18635,18-24
64604,18-24
73854,>56
8736,35-44
38309,25-34
45603,25-34
2776,25-34
11592,45-49
5727,25-34
14253,25-34
16301,25-34
54393,25-34
3066,35-44
33592,25-34
4226,45-49
78127,25-34
63176,25-34
37244,25-34
62520,35-44
5124,25-34
51116,35-44
50449,25-34
61698,25-34
79289,25-34
77482,25-34
26070,25-34
60603,50-55
26187,35-44
57884,25-34
55858,25-34
312,25-34
5249,25-34
57797,25-34
58095,35-44
71556,25-34
22336,25-34
49942,35-44
10907,45-49
61846,25-34
70183,25-34
5768,25-34
3416,25-34
69049,35-44
79942,<18
84719,>56
39919,35-44
42908,45-49
12962,25-34
12174,35-44
3481,25-34
42442,25-34
69612,25-34
17374,50-55
17032,25-34
6921,25-34
47542,>56
53754,25-34
4332,45-49
17011,35-44
79420,50-55
85009,25-34
37376,25-34
16763,25-34
22474,25-34
55257,25-34
72501,50-55
6719,18-24
67842,25-34
69740,25-34
45121,>56
70190,25-34
35534,35-44
16225,>56
65746,35-44
34120,25-34
26176,25-34
72216,35-44
80161,25-34
43309,50-55
9599,25-34
61327,25-34
25447,25-34
65314,50-55
67132,25-34
78184,25-34
1070,25-34
16466,25-34
6635,25-34
83391,25-34
23636,25-34
5473,18-24
37146,>56
24282,25-34
13272,25-34
56684,25-34
12268,25-34
37330,25-34
13414,25-34
25546,45-49
43043,25-34
45010,18-24
69114,25-34
33216,18-24
71679,25-34
67661,25-34
20540,45-49
30264,25-34
43999,35-44
14203,25-34
2047,25-34
36544,35-44
30074,35-44
66498,25-34
1104,18-24
1473,18-24
62702,25-34
19819,18-24
40481,25-34
65861,<18
60176,25-34
25934,25-34
8346,25-34
6925,50-55
34065,25-34
47131,25-34
14418,25-34
47969,>56
62902,25-34
7661,25-34
15091,25-34
48217,25-34
26071,25-34
17172,45-49
65642,18-24
66502,50-55
16958,25-34
24641,18-24
39857,45-49
37151,25-34
41350,35-44
80144,25-34
24912,25-34
10070,25-34
58932,25-34
38567,25-34
53109,45-49
45843,25-34
81296,35-44
15456,45-49
84674,25-34
60724,45-49
5669,>56
3850,25-34
25211,50-55
34017,35-44
53047,25-34
77295,>56
32146,25-34
6666,35-44
886,45-49
20149,25-34
63480,>56
81037,25-34
48377,25-34
40370,18-24
53298,50-55
54232,<18
60389,35-44
54421,25-34
85035,25-34
71632,50-55
1290,35-44
69697,25-34
62837,35-44
27799,35-44
59071,25-34
76242,25-34
4664,18-24
75093,>56
5444,25-34
53076,25-34
38872,<18
23630,25-34
22906,25-34
34432,25-34
5494,<18
11072,50-55
20399,45-49
51728,25-34
66090,35-44
39875,45-49
4137,25-34
69487,25-34
30849,25-34
37526,25-34
17490,25-34
29973,35-44
35206,25-34
42470,25-34
46611,>56
22672,25-34
61324,<18
61465,25-34
78468,25-34
69200,25-34
34502,25-34
39727,25-34
42376,25-34
40190,45-49
6280,35-44
47863,>56
66164,18-24
12955,25-34
6187,25-34
20876,25-34
63072,25-34
52749,25-34
77199,25-34
52234,25-34
59498,>56
22180,25-34
7713,25-34
16928,25-34
11793,25-34
25241,25-34
117,35-44
69090,25-34
35493,25-34
59537,25-34
43191,25-34
10788,35-44
32880,25-34
27506,25-34
5284,35-44
20675,25-34
13031,25-34
1320,45-49
23581,50-55
23536,35-44
7045,35-44
20034,>56
33162,45-49
17881,25-34
70326,25-34
6541,>56
46848,25-34
13256,18-24
18881,25-34
36211,25-34
55062,25-34
1804,18-24
5729,<18
44676,<18
71498,25-34
71718,>56
77573,45-49
64263,25-34
6545,25-34
18086,18-24
2700,25-34
59159,25-34
26978,50-55
37799,25-34
68905,25-34
44943,50-55
45617,25-34
19390,25-34
31939,35-44
80042,25-34
9714,>56
71007,25-34
33582,45-49
23149,25-34
11921,25-34
49157,25-34
80154,<18
1230,35-44
10152,50-55
45388,25-34
63118,18-24
50104,25-34
73502,<18
20035,25-34
21718,25-34
38403,25-34
73575,45-49
76341,35-44
77844,25-34
86903,25-34
25872,25-34
54719,25-34
38178,25-34
25539,45-49
44747,25-34
22540,>56
13568,45-49
49740,45-49
15569,25-34
36233,25-34
83872,>56
75329,25-34
39754,35-44
24061,25-34
81654,18-24
35764,50-55
53500,25-34
31158,25-34
40881,25-34
70723,25-34
31844,25-34
77937,25-34
22402,25-34
