user_id,gender,age,occupation,location
1384,M,18-24,K-12 student,WA
1960,M,45-49,executive-managerial,MN
974,M,35-44,unemployed,CA
5456,M,35-44,academic-educator,FL
5481,M,45-49,programmer,MN
3177,F,25-34,doctor-health care,CA
5744,F,25-34,college-grad student,KS
1447,M,18-24,college-grad student,CO
3262,M,25-34,sales-marketing,MN
4564,M,35-44,programmer,PA
898,M,25-34,executive-managerial,TX
5217,M,25-34,technician-engineer,MA
1008,M,35-44,clerical-admin,TX
1982,M,<18,K-12 student,CO
2069,M,>56,scientist,TX
3607,M,35-44,technician-engineer,FL
4817,M,25-34,academic-educator,MD
2539,M,35-44,executive-managerial,FL
4253,M,45-49,lawyer,NH
4119,M,50-55,academic-educator,MS
1106,M,18-24,college-grad student,CA
2319,M,35-44,executive-managerial,MI
3730,M,25-34,academic-educator,MI
3078,F,35-44,academic-educator,MA
5651,F,25-34,doctor-health care,OK
3053,F,25-34,clerical-admin,MN
6021,M,25-34,programmer,NJ
2948,M,18-24,sales-marketing,MI
1518,M,25-34,artist,CA
2207,M,18-24,college-grad student,NJ
2237,F,35-44,doctor-health care,NY
2593,M,>56,self-employed,CA
701,F,18-24,college-grad student,MA
4777,M,25-34,artist,IN
239,M,18-24,unemployed,CA
4005,M,35-44,executive-managerial,NY
2788,M,>56,academic-educator,CA
3227,F,25-34,sales-marketing,IL
3120,M,18-24,college-grad student,MN
5067,M,>56,retired,OR
5119,F,25-34,other,NY
2682,M,18-24,college-grad student,OH
3949,M,45-49,other,OH
4446,M,18-24,tradesman-craftsman,IL
6009,F,25-34,programmer,IL
1611,M,25-34,other,NH
4294,M,<18,K-12 student,TX
1010,M,25-34,other,NY
4667,M,25-34,sales-marketing,CA
1508,F,<18,K-12 student,CA
3424,M,25-34,doctor-health care,CA
3841,M,45-49,tradesman-craftsman,WV
3148,M,18-24,writer,AR
2905,M,35-44,technician-engineer,MN
2552,F,25-34,homemaker,SC
601,F,18-24,writer,CT
2519,F,45-49,artist,NY
4436,M,25-34,programmer,PA
6015,F,25-34,homemaker,CO
1294,F,50-55,writer,NY
576,F,45-49,scientist,MD
5714,M,35-44,artist,HI
3255,F,25-34,scientist,CA
516,F,>56,sales-marketing,MN
1467,M,25-34,customer service,OR
3301,F,25-34,artist,AZ
3947,M,25-34,other,CA
1719,M,18-24,self-employed,IL
2629,M,25-34,lawyer,PA
47,M,18-24,college-grad student,CA
5195,M,35-44,executive-managerial,CO
5431,M,>56,academic-educator,PA
903,M,>56,retired,TX
419,M,18-24,clerical-admin,MN
5460,M,18-24,college-grad student,MA
5736,M,25-34,academic-educator,NJ
77,M,18-24,college-grad student,PA
3096,F,45-49,clerical-admin,TN
3731,M,25-34,technician-engineer,KS
4870,F,35-44,clerical-admin,ME
2348,M,50-55,programmer,CT
3028,M,<18,K-12 student,NY
503,M,35-44,lawyer,OK
4685,M,35-44,academic-educator,MN
2395,M,35-44,executive-managerial,NJ
944,M,35-44,other,CA
5027,F,25-34,sales-marketing,VT
4218,M,50-55,technician-engineer,VA
2992,M,18-24,college-grad student,NY
5231,M,35-44,executive-managerial,CA
1597,M,25-34,programmer,NY
71,M,25-34,sales-marketing,CA
538,M,>56,self-employed,CA
4236,F,25-34,clerical-admin,NJ
3378,M,18-24,college-grad student,MI
2238,F,25-34,college-grad student,FL
1624,M,25-34,other,CT
455,F,35-44,artist,MN
3169,M,50-55,other,VA
1121,M,>56,executive-managerial,TX
5186,M,35-44,programmer,AP
3072,M,50-55,academic-educator,MN
660,M,45-49,self-employed,LA
5843,M,35-44,academic-educator,ID
36,M,25-34,clerical-admin,CA
1310,M,45-49,other,CA
2511,M,25-34,executive-managerial,PA
30,F,35-44,executive-managerial,PA
1643,M,45-49,artist,CA
3475,M,25-34,sales-marketing,FL
5921,M,25-34,doctor-health care,PA
1926,F,<18,other,CA
569,F,18-24,college-grad student,OR
5890,M,35-44,writer,TX
4085,F,25-34,doctor-health care,TX
4108,M,35-44,technician-engineer,TX
1903,M,35-44,other,CA
2546,F,>56,retired,TN
18,F,18-24,clerical-admin,CA
3573,M,<18,K-12 student,MI
1425,M,<18,K-12 student,NJ
756,M,35-44,other,CA
5200,F,35-44,scientist,OH
3018,M,35-44,other,OH
5559,M,50-55,academic-educator,TX
43,M,25-34,programmer,IL
397,M,35-44,technician-engineer,VA
3113,M,25-34,K-12 student,MN
5532,M,25-34,technician-engineer,NC
5359,M,18-24,self-employed,NC
5376,M,25-34,technician-engineer,CA
3102,M,25-34,programmer,N/A
522,M,25-34,programmer,MN
2026,M,50-55,self-employed,MI
1652,M,25-34,self-employed,WA
904,M,35-44,writer,CA
2783,M,45-49,technician-engineer,TX
4806,M,25-34,technician-engineer,CA
3377,M,25-34,technician-engineer,NH
3734,M,18-24,college-grad student,TX
838,M,50-55,technician-engineer,CA
1528,M,25-34,scientist,CA
548,F,35-44,self-employed,HI
