algorithm,step,g_in,h,G_out,coverage,diversity,normalized_diversity
Greedy-HEP,0,All users,Mean is greater than 3.5,"fans:semipopular, fans:popular, fans:unpopular",1.0,3.0,1.0
Greedy-HEP,1,fans:popular,Mean is greater than 3.5,"category:Restaurant|fans:popular, category:Mass Media|fans:popular, city:Calgary|fans:popular",0.9152969622141626,2.93427323778197,0.9780910792606566
Greedy-HEP,2,fans:semipopular,Mean is greater than 3.5,"category:Restaurant|fans:semipopular, category:Religious Organizations|fans:semipopular, city:Calgary|fans:semipopular",0.8147599745167636,2.9751294641191444,0.9917098213730481
Greedy-HEP,3,category:Restaurant|fans:semipopular,Mean is greater than 3.5,"category:Restaurant|fans:semipopular|gender:F, category:Restaurant|city:Calgary|fans:semipopular, category:Restaurant|fans:semipopular|gender:M",1.0,2.9731063894576564,0.9910354631525521
Greedy-HEP,4,category:Religious Organizations|fans:semipopular,Mean is greater than 3.5,"category:Religious Organizations|fans:semipopular|gender:F, category:Religious Organizations|city:Mesa|fans:semipopular, category:Religious Organizations|fans:semipopular|gender:M",1.0,2.9639354983514696,0.9879784994504899
Greedy-HEP,5,category:Restaurant|fans:popular,Mean is greater than 3.5,"category:Restaurant|city:Mississauga|fans:popular, category:Restaurant|city:Peoria|fans:popular, category:Restaurant|city:Las Vegas|fans:popular",0.7236916150815982,2.965093146759791,0.9883643822532636
Greedy-HEP,6,category:Restaurant|fans:semipopular|gender:F,Mean is greater than 3.5,"category:Restaurant|city:Toronto|fans:semipopular|gender:F, category:Restaurant|city:Phoenix|fans:semipopular|gender:F, category:Restaurant|city:Las Vegas|fans:semipopular|gender:F",0.7224678329213412,2.9384149438181835,0.9794716479393945
Greedy-HEP,7,fans:unpopular,Mean is greater than 3.5,"city:Madison|fans:unpopular, category:Religious Organizations|fans:unpopular, category:Restaurant|fans:unpopular",0.6796215904828732,2.9748576876532367,0.9916192292177456
Greedy-HEP,8,category:Restaurant|fans:unpopular,Mean is greater than 3.5,"category:Restaurant|city:Calgary|fans:unpopular, category:Restaurant|fans:unpopular|gender:F, category:Restaurant|fans:unpopular|gender:M",1.0,2.9676305059018544,0.9892101686339515
Greedy-HEP,9,category:Religious Organizations|fans:unpopular,Mean is greater than 3.5,"category:Religious Organizations|fans:unpopular|gender:M, category:Religious Organizations|fans:unpopular|gender:F, category:Religious Organizations|city:Montréal|fans:unpopular",1.0,2.937701098577011,0.9792336995256704
Greedy-HEP,10,city:Madison|fans:unpopular,Mean is greater than 3.5,"category:Pets|city:Madison|fans:unpopular, category:Restaurant|city:Madison|fans:unpopular, category:Education|city:Madison|fans:unpopular",0.7354964749851355,2.9495366608124596,0.9831788869374866
Greedy-HEP,11,category:Restaurant|fans:semipopular|gender:M,Mean is greater than 3.5,"category:Restaurant|city:Phoenix|fans:semipopular|gender:M, category:Restaurant|city:Las Vegas|fans:semipopular|gender:M, category:Restaurant|city:Toronto|fans:semipopular|gender:M",0.7114892491902662,2.917465609996631,0.9724885366655437
Greedy-HEP,12,category:Restaurant|fans:unpopular|gender:F,Mean is greater than 3.5,"category:Restaurant|city:Toronto|fans:unpopular|gender:F, category:Restaurant|city:Phoenix|fans:unpopular|gender:F, category:Restaurant|city:Las Vegas|fans:unpopular|gender:F",0.595168438804681,2.9820356991700074,0.9940118997233358
Greedy-HEP,13,city:Calgary|fans:semipopular,Mean is greater than 3.5,"category:Restaurant|city:Calgary|fans:semipopular, category:Education|city:Calgary|fans:semipopular, category:Health & Medical|city:Calgary|fans:semipopular",0.828697686508968,2.7476758242332333,0.9158919414110778
Greedy-HEP,14,category:Restaurant|fans:unpopular|gender:M,Mean is greater than 3.5,"category:Restaurant|city:Las Vegas|fans:unpopular|gender:M, category:Restaurant|city:Toronto|fans:unpopular|gender:M, category:Restaurant|city:Phoenix|fans:unpopular|gender:M",0.593684088153721,2.976966848849466,0.9923222829498219
Greedy-HEP,15,category:Religious Organizations|fans:semipopular|gender:F,Mean is greater than 3.5,"category:Religious Organizations|city:Las Vegas|fans:semipopular|gender:F, category:Religious Organizations|city:Phoenix|fans:semipopular|gender:F, category:Religious Organizations|city:Pittsburgh|fans:semipopular|gender:F",0.5253012048192771,2.995049504950495,0.9983498349834984
Greedy-HEP,16,category:Religious Organizations|fans:unpopular|gender:F,Mean is greater than 3.5,"category:Religious Organizations|city:Pittsburgh|fans:unpopular|gender:F, category:Religious Organizations|city:Las Vegas|fans:unpopular|gender:F, category:Religious Organizations|city:Phoenix|fans:unpopular|gender:F",0.5129274395329442,3.0,1.0
Greedy-HEP,17,category:Religious Organizations|fans:semipopular|gender:M,Mean is greater than 3.5,"category:Religious Organizations|city:Pittsburgh|fans:semipopular|gender:M, category:Religious Organizations|city:Las Vegas|fans:semipopular|gender:M, category:Religious Organizations|city:Phoenix|fans:semipopular|gender:M",0.451505016722408,3.0,1.0
Greedy-HEP,18,category:Religious Organizations|fans:unpopular|gender:M,Mean is greater than 3.5,"category:Religious Organizations|city:Phoenix|fans:unpopular|gender:M, category:Religious Organizations|city:Las Vegas|fans:unpopular|gender:M, category:Religious Organizations|city:Pittsburgh|fans:unpopular|gender:M",0.45056320400500627,3.0,1.0
Greedy-HEP,19,city:Calgary|fans:popular,Mean is greater than 3.5,"category:Restaurants|city:Calgary|fans:popular, category:Pets|city:Calgary|fans:popular, category:Public Services & Government|city:Calgary|fans:popular",0.819047619047619,2.5811423437158663,0.860380781238622
Greedy-HEP,20,category:Religious Organizations|city:Montréal|fans:unpopular,Mean is greater than 3.5,"category:Religious Organizations|city:Montréal|fans:unpopular|gender:M, category:Religious Organizations|city:Montréal|fans:unpopular|gender:F",1.0,1.0,1.0
Greedy-HEP,21,category:Public Services & Government|city:Calgary|fans:popular,Mean is greater than 3.5,"category:Public Services & Government|city:Calgary|fans:popular|gender:F, category:Public Services & Government|city:Calgary|fans:popular|gender:M",1.0,1.0,1.0
Greedy-HEP,22,category:Education|city:Madison|fans:unpopular,Mean is greater than 3.5,"category:Education|city:Madison|fans:unpopular|gender:M, category:Education|city:Madison|fans:unpopular|gender:F",1.0,1.0,1.0
Greedy-HEP,23,category:Health & Medical|city:Calgary|fans:semipopular,Mean is greater than 3.5,"category:Health & Medical|city:Calgary|fans:semipopular|gender:M, category:Health & Medical|city:Calgary|fans:semipopular|gender:F",1.0,1.0,1.0
Greedy-HEP,24,category:Pets|city:Madison|fans:unpopular,Mean is greater than 3.5,"category:Pets|city:Madison|fans:unpopular|gender:M, category:Pets|city:Madison|fans:unpopular|gender:F",1.0,1.0,1.0
Greedy-HEP,25,category:Restaurant|city:Peoria|fans:popular,Mean is greater than 3.5,"category:Restaurant|city:Peoria|fans:popular|gender:F, category:Restaurant|city:Peoria|fans:popular|gender:M",1.0,1.0,1.0
Greedy-HEP,26,category:Restaurant|city:Mississauga|fans:popular,Mean is greater than 3.5,"category:Restaurant|city:Mississauga|fans:popular|gender:F, category:Restaurant|city:Mississauga|fans:popular|gender:M",1.0,1.0,1.0
Greedy-HEP,27,category:Restaurants|city:Calgary|fans:popular,Mean is greater than 3.5,"category:Restaurants|city:Calgary|fans:popular|gender:F, category:Restaurants|city:Calgary|fans:popular|gender:M",1.0,1.0,1.0
